timestamp,merilno_mesto,datum,pm10_dnevna,pm2.5_dnevna,co_max_8urna,o3_max_urna,o3_max_8urna,no2_max_urna,so2_dnevna,so2_max_urna
2022-11-10 15:27:36.000631,LJ Bežigrad,2022-11-09,21,17,0.5,63,58,47,,
2022-11-10 15:27:36.000631,LJ Celovška,2022-11-09,27,20,,,,54,,
2022-11-10 15:27:36.000631,LJ Vič,2022-11-09,20,16,,,,,,
2022-11-10 15:27:36.000631,Kranj,2022-11-09,19,16,,,,,,
2022-11-10 15:27:36.000631,MB Titova,2022-11-09,22,16,,,,40,,
2022-11-10 15:27:36.000631,MB Vrbanski,2022-11-09,19,17,,20,17,17,,
2022-11-10 15:27:36.000631,CE bolnica,2022-11-09,22,15,,73,68,53,4,6
2022-11-10 15:27:36.000631,CE Ljubljanska,2022-11-09,17,12,,,,,,
2022-11-10 15:27:36.000631,Ptuj,2022-11-09,27,19,,,,,,
2022-11-10 15:27:36.000631,MS Rakičan,2022-11-09,31,27,,19,14,29,,
2022-11-10 15:27:36.000631,MS Cankarjeva,2022-11-09,42,35,,,,,,
2022-11-10 15:27:36.000631,Solkan,2022-11-09,32,22,,,,,,
2022-11-10 15:27:36.000631,NG Grčna,2022-11-09,42,30,,13,5,51,,
2022-11-10 15:27:36.000631,Otlica,2022-11-09,,,,87,75,,,
2022-11-10 15:27:36.000631,Koper,2022-11-09,21,17,,74,69,40,,
2022-11-10 15:27:36.000631,Trbovlje,2022-11-09,17,15,,,,,,
2022-11-10 15:27:36.000631,Zagorje,2022-11-09,18,15,,56,51,31,3,3
2022-11-10 15:27:36.000631,Hrastnik,2022-11-09,17,13,,,,,,
2022-11-10 15:27:36.000631,Novo mesto,2022-11-09,33,28,,50,27,38,,
2022-11-10 15:27:36.000631,Iskrba,2022-11-09,5,4,,81,72,1,1,1
2022-11-10 15:27:36.000631,Krvavec,2022-11-09,,,,74,80,,,
